query_term,source,title,author,published_on,emo_score,description
test, NYT, How to Plan a Trip With the New TripAdvisor, By JUSTIN SABLICH, 2017-07-20, 2, How to Plan a Trip With the New TripAdvisor; by By JUSTIN SABLICH; New York Times; published 2017-07-20; emotional score: 2
test, NYT, How to Explore a City Like a Local Using Your Smartphone, By JUSTIN SABLICH, 2017-09-08, 1, How to Explore a City Like a Local Using Your Smartphone; by By JUSTIN SABLICH; New York Times; published 2017-09-08; emotional score: 1
test, NYT, Looking for a London Vacation Rental? We Tried the Plum Guide, By SHIVANI VORA, 2017-09-01, 1, Looking for a London Vacation Rental? We Tried the Plum Guide; by By SHIVANI VORA; New York Times; published 2017-09-01; emotional score: 1
test, NYT, North Korea Used Multiple-Rocket Launchers to Test Missiles, By CHOE SANG-HUN, 2017-08-26, 1, North Korea Used Multiple-Rocket Launchers to Test Missiles; by By CHOE SANG-HUN; New York Times; published 2017-08-26; emotional score: 1
test, NYT, Salvador Dalí Was Not Woman’s Father  DNA Test Shows, By RAPHAEL MINDER, 2017-09-06, 0, Salvador Dalí Was Not Woman’s Father  DNA Test Shows; by By RAPHAEL MINDER; New York Times; published 2017-09-06; emotional score: 0
test, NYT, More Law Schools Begin Accepting GRE Test Results, By ELIZABETH OLSON, 2017-08-10, 0, More Law Schools Begin Accepting GRE Test Results; by By ELIZABETH OLSON; New York Times; published 2017-08-10; emotional score: 0
test, NYT, U.S. Test Successfully Intercepts Ballistic Missile, By EILEEN SULLIVAN, 2017-08-30, 0, U.S. Test Successfully Intercepts Ballistic Missile; by By EILEEN SULLIVAN; New York Times; published 2017-08-30; emotional score: 0
test, NYT, Satellite Images of North Korea Show Landslides at Nuclear Test Site, By WILLIAM J. BROAD, 2017-09-05, 0, Satellite Images of North Korea Show Landslides at Nuclear Test Site; by By WILLIAM J. BROAD; New York Times; published 2017-09-05; emotional score: 0
test, NYT, North Korea Nuclear Test Puts Pressure on China and Undercuts Xi, By JANE PERLEZ, 2017-09-03, 0, North Korea Nuclear Test Puts Pressure on China and Undercuts Xi; by By JANE PERLEZ; New York Times; published 2017-09-03; emotional score: 0
test, NYT, A Test of Australian Identity, By WALEED ALY, 2017-09-04, 0, A Test of Australian Identity; by By WALEED ALY; New York Times; published 2017-09-04; emotional score: 0
test, NYT, The Test of Nazism That Trump Failed, By TIMOTHY SNYDER, 2017-08-18, 0, The Test of Nazism That Trump Failed; by By TIMOTHY SNYDER; New York Times; published 2017-08-18; emotional score: 0
test, NYT, 2 Days After North Korea Missile Test  a Show of U.S. Airpower, By CHOE SANG-HUN, 2017-08-31, 0, 2 Days After North Korea Missile Test  a Show of U.S. Airpower; by By CHOE SANG-HUN; New York Times; published 2017-08-31; emotional score: 0
test, NYT, For the New Cadillac  Now Comes the Real Test, By NEAL E. BOUDETTE, 2017-09-07, 0, For the New Cadillac  Now Comes the Real Test; by By NEAL E. BOUDETTE; New York Times; published 2017-09-07; emotional score: 0
test, NYT, Teaching Activities for: ‘With a Simple DNA Test  Family Histories Are Rewritten‘, By CAROLINE CROSSON GILPIN, 2017-08-31, 0, Teaching Activities for: ‘With a Simple DNA Test  Family Histories Are Rewritten‘; by By CAROLINE CROSSON GILPIN; New York Times; published 2017-08-31; emotional score: 0
test, NYT, Washington Square Park Hearing Test, By JAN BLUSTEIN, 2017-08-15, -1, Washington Square Park Hearing Test; by By JAN BLUSTEIN; New York Times; published 2017-08-15; emotional score: -1
test, NYT, Why Trump  After North Korea’s Test  Aimed His Sharpest Fire at the South, By GLENN THRUSH and MARK LANDLER, 2017-09-03, -1, Why Trump  After North Korea’s Test  Aimed His Sharpest Fire at the South; by By GLENN THRUSH and MARK LANDLER; New York Times; published 2017-09-03; emotional score: -1
test, NYT, Test Your Knowledge of Historical Events  as Seen in Our Pages, By THOMAS FURSE, 2017-09-04, -1, Test Your Knowledge of Historical Events  as Seen in Our Pages; by By THOMAS FURSE; New York Times; published 2017-09-04; emotional score: -1
test, NYT, The Litter Box as Litmus Test: Can This Marriage Be Scooped?, By STEVE ALMOND and CHERYL STRAYED, 2017-08-29, -1, The Litter Box as Litmus Test: Can This Marriage Be Scooped?; by By STEVE ALMOND and CHERYL STRAYED; New York Times; published 2017-08-29; emotional score: -1
